methyl hydrogen carbonate	O=C(O)OC
3-(3-tert-butyl-1,2,4-oxadiazol-5-yl)-L-alanine	O=C(O)C(N)Cc1nc(no1)C(C)(C)C
3-(2-methylphenyl)propanoic acid	O=C(O)CCc1ccccc1C
1-(2-chlorophenyl)methanamine	Clc1ccccc1CN
4-(benzyloxy)benzoic acid	O=C(O)c2ccc(OCc1ccccc1)cc2
1-(3-methylthiophen-2-yl)methanamine	s1c(c(cc1)C)CN
14-methylhexadec-9-enoic acid	O=C(O)CCCCCCC/C=C/CCCC(C)CC
(2S)-(3,4-dihydroxyphenyl)(methylamino)ethanoic acid	O=C(O)C(c1cc(O)c(O)cc1)NC
2-(2-methyl-1H-benzimidazol-1-yl)ethanamine	n2c1ccccc1n(c2C)CCN
(2S)-2-(propan-2-yl)butanedioic acid	O=C(O)C(CC(=O)O)C(C)C
4-amino-2-(phenylamino)-1,3-thiazole-5-carboxamide	O=C(c1sc(nc1N)Nc2ccccc2)N
(2S)-2,7-bis(phosphonooxy)heptanoic acid	O=C(O)C(OP(=O)(O)O)CCCCCOP(=O)(O)O
(2R)-2,7-bis(phosphonooxy)heptanoic acid	O=C(O)C(OP(=O)(O)O)CCCCCOP(=O)(O)O
(1S,3aR,6aS)-octahydrocyclopenta[c]pyrrole-1-carboxylic acid	O=C(O)C1NCC2CCCC12
(3S)-3-amino-N-cyclopropyl-2-oxohexanamide	O=C(C(=O)NC1CC1)C(N)CCC
1-aminocycloheptanecarboxylic acid	O=C(O)C1(N)CCCCCC1
(2S)-2-chloro-4-methylpentanoic acid	ClC(C(=O)O)CC(C)C
3-[4-(4-phenylthiophen-2-yl)phenyl]propanoic acid	O=C(O)CCc3ccc(c2scc(c1ccccc1)c2)cc3
N-(5-cyclopropyl-1H-pyrazol-3-yl)benzene-1,4-dicarboxamide	O=C(Nc1nnc(c1)C2CC2)c3ccc(C(=O)N)cc3
4-(aminomethyl)piperidine-1-carboximidamide	[N@H]=C(N)N1CCC(CN)CC1
methanesulfonic acid	O=S(=O)(O)C
(2R)-propane-1,1,2,3-tetrol	OCC(O)C(O)O
4-[(4-amino-5-benzoyl-1,3-thiazol-2-yl)amino]benzenesulfonamide	O=S(=O)(N)c3ccc(Nc1nc(c(s1)C(=O)c2ccccc2)N)cc3
4-(2-methylphenyl)-2,4-dioxobutanoic acid	O=C(c1ccccc1C)CC(=O)C(=O)O
2-(3-FLUORO-4-HYDROXYPHENYL)-7-VINYL-1,3-BENZOXAZOL-5-OL	Fc3c(O)ccc(c1nc2cc(O)cc(c2o1)\C=C)c3
4-(3-bromophenyl)-2,4-dioxobutanoic acid	O=C(c1cc(Br)ccc1)CC(=O)C(=O)O
1-CYCLOHEXYL-N-{[1-(4-METHYLPHENYL)-1H-INDOL-3-YL]METHYL}METHANAMINE	c1cccc2c1c(cn2c3ccc(cc3)C)CNCC4CCCCC4
2-(acetylamino)-4,5-anhydro-1,2-dideoxy-4-methyl-1-phenyl-D-xylitol	O=C(NC(C(O)C1(OC1)C)Cc2ccccc2)C
(2R,3R,4S)-4-amino-2,6-dimethylheptane-1,3-diol	OCC(C(O)C(N)CC(C)C)C
iodoacetic acid	ICC(=O)O
(3S)-3-(aminomethyl)piperidine-1-carboximidamide	[N@H]=C(N)N1CCCC(CN)C1
5-(morpholin-4-ylsulfonyl)-2-{[3-(octyloxy)benzyl]oxy}benzoic acid	O=S(=O)(N1CCOCC1)c3cc(C(=O)O)c(OCc2cccc(OCCCCCCCC)c2)cc3
2-amino-2-deoxy-4,6-O-(phenylmethylidene)-alpha-D-glucopyranose	O1C(O)C(N)C(O)C2OC(OCC12)c3ccccc3
(3R)-3-(hydroxymethyl)piperidine-1-carboximidamide	[N@H]=C(N)N1CCCC(CO)C1
[3-(trifluoromethyl)-4,5,6,7-tetrahydro-1H-indazol-1-yl]acetic acid	FC(F)(F)c1nn(c2c1CCCC2)CC(=O)O
(3R)-pyrrolidin-3-amine	NC1CCNC1
N-(4-{[4-(methylsulfonyl)-2-nitrophenyl]amino}phenyl)acetamide	O=S(=O)(c2cc(c(Nc1ccc(NC(=O)C)cc1)cc2)[N+]([O-])=O)C
azanylidene-[(3S,5S)-5-carboxypyrrolidin-3-yl]imino-azanium	O=C(O)C1NCC(/N=[N+]=[N@H])C1
(2S)-pyrrolidine-2-carboximidic acid	[N@H]=C(O)C1NCCC1
2-{[3-(decyloxy)benzyl]oxy}-5-nitrobenzoic acid	[O-][N+](=O)c2ccc(OCc1cccc(OCCCCCCCCCC)c1)c(c2)C(=O)O
N-cyclopropyl-1-(4-phenylpyridin-3-yl)piperidine-4-carboxamide	O=C(NC1CC1)C1CCN(CC1)c1cnccc1c1ccccc1
3-[(2,4-DICHLOROPHENYL)METHYLSULFANYLMETHYL]BENZOIC ACID	Clc1cc(Cl)ccc1CSCc2cccc(C(=O)O)c2
1-benzyl-5-chloro-3-(2-fluorophenyl)-1H-indole-2-carboxylic acid	Fc4ccccc4c2c1cc(Cl)ccc1n(c2C(=O)O)Cc3ccccc3
heptyl 1-seleno-beta-D-glucopyranoside	[Se](CCCCCCC)C1OC(C(O)C(O)C1O)CO
(3R,4R)-4-hydroxy-3-methyl-L-proline	O=C(O)C1NCC(O)C1C
(2S)-2-amino-3-[4-(trifluoromethoxy)phenyl]propanal	FC(F)(F)Oc1ccc(cc1)CC(N)C(=O)O
2-(3,4-dichlorophenyl)ethanoic acid	Clc1ccc(cc1Cl)CC(=O)O
1-[4-(aminomethyl)cyclohexyl]guanidine	[N@H]=C(N)NC1CCC(CC1)CN
(3S,4S)-4-azanyl-2,6-dimethyl-heptan-3-ol	CC(C)C[C@H](N)[C@@H](O)C(C)C
(2R,3S,4S)-4-azanyl-2,6-dimethyl-heptane-1,3-diol	CC(C)C[C@H](N)[C@@H](O)[C@H](C)CO
~{N}-[1-(2-pyridin-2-ylethyl)benzimidazol-2-yl]propanamide	CCC(=O)Nc1nc2ccccc2n1CCc3ccccn3
p-(4-ruthenocenyl-1H-1,2,3-triazol-1-yl)benzenesulfonamide	O=S9(=O)N
3-bromo-2,6-dimethoxybenzoic acid	Brc1ccc(OC)c(c1OC)C(=O)O
1-[(2~{S})-2-(4-methoxyphenyl)pyrrolidin-1-yl]propan-1-one	CCC(=O)N1CCC[C@H]1c2ccc(OC)cc2
D-myo-inositol 1,4,6-trisphosphate	O[C@H]1[C@@H](O)[C@@H](O[P](O)(O)=O)[C@H](O[P](O)(O)=O)[C@@H](O)[C@@H]1O[P](O)(O)=O
2,6-bis(chloranyl)-7H-purine	Clc1nc(Cl)c2[nH]cnc2n1
Betulinic acid	CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O
4-[2-(propylamino)imidazo[2,1-b][1,3,4]thiadiazol-5-yl]phenol	CCCNc1sc2ncc(n2n1)c3ccc(O)cc3
D-phenylalanyl-N-[(1-methylpyridinium-4-yl)methyl]-L-prolinamide	O=C(NCc1cc[n+](cc1)C)C3N(C(=O)C(N)Cc2ccccc2)CCC3
2-[4-(trifluoromethyl)phenyl]-3H-quinazolin-4-one	FC(F)(F)c1ccc(cc1)C2=Nc3ccccc3C(=O)N2
2-phenoxyethanoic acid	O=C(O)COc1ccccc1
{4-amino-2-[(3-fluorophenyl)amino]-1,3-thiazol-5-yl}(phenyl)methanone	Fc3cc(Nc1nc(c(s1)C(=O)c2ccccc2)N)ccc3
[PROPYLAMINO-3-HYDROXY-BUTAN-1,4-DIONYL]-ISOLEUCYL-PROLINE	O=C(N1C(C(=O)O)CCC1)C(NC(=O)CC(O)C(=O)NCCC)C(C)CC
(3S)-5-biphenyl-4-yl-3-hydroxypentanoic acid	O=C(O)CC(O)CCc1ccc(cc1)c2ccccc2
(2R,3R,4R,5S)-3,5-bis(azanyl)-1,6-diphenyl-hexane-2,4-diol	OC(Cc1ccccc1)C(N)C(O)C(N)Cc2ccccc2
dimethyl (1S,2S,4S,5S)-4,5-dihydroxycyclohexane-1,2-dicarboxylate	O=C(OC)C1CC(O)C(O)CC1C(=O)OC
2-methylsulfanyl-10-nitro-pyrido[3,4-g]quinazoline	CSc1ncc2cc3cnccc3c(c2n1)[N+]([O-])=O
Trans-Geranyl BACTERIOCHLOROPHYLL A	CCc1c(C)c2C=C3N=C(C=C4[N@]5[Mg]n2c1C=C6N=C7C(=C5C(=C4C)CCC(=O)OC\C=C(/C)CC\C=C(C)\CC/C=C(C)/CCC=C(C)C)[C@@H](C(=O)OC)C(=O)C7=C6C)C(=C3C(C)=O)C
(3S)-3-hydroxybutyl beta-D-xylopyranoside	O(CCC(O)C)C1OCC(O)C(O)C1O
Spliceostatin E (form I)	C[C@H]1C[C@@H](NC(=O)\C=C/[C@H](C)OC(C)=O)[C@@H](C)O[C@H]1C/C=C(C)/C=C/[C@@H]2CC(=CC(=O)O2)C
S-[(2S)-2-phenylpropanoyl]-L-cysteine	O=C(O)C(N)CSC(=O)C(c1ccccc1)C
1-[(3-hydroxyphenyl)methyl]-3-(4-pyridin-4-yl-1,3-thiazol-2-yl)urea	Oc1cccc(CNC(=O)Nc2scc(n2)c3ccncc3)c1
(5R)-2-methyl-5-(prop-1-en-2-yl)cyclohex-2-en-1-one	O=C1C(=CCC(C(=C)\C)C1)C
(2S,3R,4R,5R)-2-(hydroxymethyl)-5-(4-nitrophenoxy)oxolane-3,4-diol	OC[C@@H]1O[C@H](Oc2ccc(cc2)[N+]([O-])=O)[C@H](O)[C@H]1O
2-(4-methoxyphenyl)-3,4-dihydroquinazolin-4-one	O=C2c3ccccc3N=C(c1ccc(OC)cc1)N2
Trans-Geranyl BACTERIOPHEOPHYTIN A	CCc1c(C)c2[nH]c1cc3nc4c([C@@H](C(=O)OC)C(=O)c4c3C)c5[nH]c(cc6nc(c2)c(C(C)=O)c6C)c(C)c5CCC(=O)OC\C=C(/C)CC\C=C(C)\CC\C=C(/C)CCC=C(C)C
N~5~-(pyrazin-2-ylcarbonyl)-L-ornithine	O=C(NCCCC(C(=O)O)N)c1nccnc1
(Z)-docos-13-enoic acid	CCCCCCCC\C=C/CCCCCCCCCCCC(O)=O
N-(carboxycarbonyl)-D-cysteine	O=C(C(=O)O)NC(C(=O)O)CS
5'-O-{(S)-hydroxy[(2-sulfanylethyl)amino]phosphoryl}thymidine	O=P(O)(OCC2OC(N1C(=O)NC(=O)C(=C1)C)CC2O)NCCS
4-{[4-amino-5-(pyridin-3-ylcarbonyl)-1,3-thiazol-2-yl]amino}benzamide	O=C(N)c3ccc(Nc1nc(c(s1)C(=O)c2cccnc2)N)cc3
(3S)-spiro[indole-3,3'-pyrrolidin]-2(1H)-one	O=C2Nc1c(cccc1)C23CCNC3
(3S,5R)-3,5-bis(6-bromo-1H-indol-3-yl)piperazin-2-one	Brc1cc2c(cc1)c(cn2)C5C(=O)NCC(c3cnc4cc(Br)ccc34)N5
1-(pyridin-3-yl)-1,4-diazepane	n1cc(ccc1)N2CCCNCC2
1-(5-ethoxypyridin-3-yl)-1,4-diazepane	O(c1cc(cnc1)N2CCCNCC2)CC
1-(5-phenylpyridin-3-yl)-1,4-diazepane	n2cc(cc(c1ccccc1)c2)N3CCCNCC3
1-(6-bromopyridin-3-yl)-1,4-diazepane	Brc1ncc(cc1)N2CCCNCC2
1-(6-bromo-5-ethoxypyridin-3-yl)-1,4-diazepane	Brc1ncc(cc1OCC)N2CCCNCC2
1-(3,4-dichlorobenzyl)-5,6-dimethyl-1H-benzimidazole	Clc1ccc(cc1Cl)Cn2c3cc(c(cc3nc2)C)C
(methoxymethyl)cyclopropane	cyclopropylmethyl
L-ADENOSINE-5'-MONOPHOSPHATE	O=P(O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3O
2-methyl-L-aspartic acid	O=C(O)CC(N)(C(=O)O)C
[(1R)-1,5-diaminopentyl][bis(ethanolato)]hydroxyborate(1-)	O[B-](OCC)(OCC)C(N)CCCCN
4-bromobutanoic acid	OC(=O)CCCBr
(3R)-4-ethoxy-3-hydroxy-4-oxobutanoic acid	O=C(O)CC(O)C(=O)OCC
2-(carboxymethyl)benzoic acid	O=C(O)Cc1ccccc1C(=O)O
S-[(2-chloroethyl)carbamoyl]-L-cysteine	O=C(O)C(N)CSC(=O)NCCCl
methyl L-phenylalaninate	O=C(OC)C(N)Cc1ccccc1
methyl L-valinate	O=C(OC)C(N)C(C)C
(3S,4S)-3-amino-4-methyl-3,4-dihydro-2H-pyran-2-one	O=C1OC=CC(C)C1N
(4S,5S)-5-amino-4-hydroxy-6-phenylhexanoic acid	O=C(O)CCC(O)C(N)Cc1ccccc1
N-(ethoxycarbonyl)-L-leucine	O=C(OCC)NC(C(=O)O)CC(C)C
O-(bromoacetyl)-L-serine	BrCC(=O)OCC(C(=O)O)N
methyl 2-(acetylamino)-2-deoxy-alpha-D-galactopyranosiduronic acid	O=C(O)C1OC(OC)C(NC(=O)C)C(O)C1O
(1R)-1-(ethylsulfanyl)-1-(methylsulfanyl)ethane	S(C)C(SCC)C
(2S)-2-amino-4-(2-chloroethoxy)-4-oxobutanoic acid	O=C(OCCCl)CC(N)C(=O)O
(2S)-2-amino-3-naphthalen-1-ylpropanal	O=CC(N)Cc2cccc1ccccc12
N-[N-[(4S)-4-azanyl-5-hydroxy-5-oxo-pentyl]carbamimidoyl]ethanamide	O=C(O)C(N)CCCNC(=[N@H])NC(=O)C
asiatic acid	O=C(O)C54C(C3=CCC1C(CCC2C1(C)CC(O)C(O)C2(C)CO)(C)C3(C)CC4)C(C)C(C)CC5
2-(acetylamino)-2-deoxy-6-O-phosphono-alpha-D-glucopyranose	O=P(O)(O)OCC1OC(O)C(NC(=O)C)C(O)C1O
diethyl [(1R)-1,5-diaminopentyl]boronate	O(B(OCC)C(N)CCCCN)CC
(4R)-4-hydroxy-D-proline	N1CC(CC1C(O)=O)O
(2S,4R)-2-amino-1-cyclohexyl-5-hydroxy-4-methylpentan-3-one	O=C(C(N)CC1CCCCC1)C(C)CO
2,2'-bipyridine	n2c(c1ccccn1)cccc2
5-(1H-benzimidazol-2-yl)-2,4-dihydro-3H-1,2,4-triazol-3-one	O=C1NC(=NN1)c1[NH]c2ccccc2n1
(4beta,8alpha,9R)-6'-methoxy-10,11-dihydrocinchonan-9-ol	O(c4cc1c(nccc1C(O)C2N3CCC(C2)C(CC)C3)cc4)C
methyl 3-[(3-methoxybenzoyl)amino]-4-(4-methylpiperazin-1-yl)benzoate	O=C(OC)c2ccc(c(NC(=O)c1cccc(OC)c1)c2)N3CCN(C)CC3
4-{[4-(phenylamino)pyrimidin-2-yl]amino}benzoic acid	O=C(O)c1ccc(cc1)Nc2nc(ccn2)Nc3ccccc3
4-({4-[(2-chlorophenyl)amino]pyrimidin-2-yl}amino)benzoic acid	O=C(O)c1ccc(cc1)Nc2nc(ccn2)Nc3ccccc3Cl
4-({4-[(2-fluorophenyl)amino]pyrimidin-2-yl}amino)benzoic acid	O=C(O)c1ccc(cc1)Nc2nc(ccn2)Nc3ccccc3F
L-CYTIDINE-5'-MONOPHOSPHATE	O=C1N=C(N)C=CN1C2OC(C(O)C2O)COP(=O)(O)O
4-{[4-(biphenyl-2-ylamino)pyrimidin-2-yl]amino}benzoic acid	O=C(O)c1ccc(cc1)Nc2nc(ccn2)Nc4ccccc4c3ccccc3
4-({4-[(2-bromophenyl)amino]pyrimidin-2-yl}amino)benzoic acid	O=C(O)c1ccc(cc1)Nc2nc(ccn2)Nc3ccccc3Br
4-({4-[(2-cyanophenyl)amino]pyrimidin-2-yl}amino)benzoic acid	O=C(O)c1ccc(cc1)Nc2nc(ccn2)Nc3ccccc3C#N
2-({2-[(4-carboxyphenyl)amino]pyrimidin-4-yl}amino)benzoic acid	O=C(O)c1ccccc1Nc2nc(ncc2)Nc3ccc(C(=O)O)cc3
Andiconin D	CC1(C)[C@@H]2CC[C@@]34C[C@@]5(C)C=C6C(=O)OC[C@@]36[C@@](C)(C[C@H]4[C@@]2(C)C=CC1=O)C5=O
prop-2-yn-1-yl trihydrogen diphosphate	O=P(O)(O)OP(=O)(OCC#C)O
4-hydroxybutyl trihydrogen diphosphate	O=P(O)(O)OP(=O)(OCCCCO)O
4-oxopentyl trihydrogen diphosphate	O=P(O)(O)OP(=O)(OCCCC(=O)C)O
4-[1-cyclohexyl-4-(4-fluorophenyl)-1H-imidazol-5-yl]pyrimidin-2-amine	Fc4ccc(c1ncn(c1c2nc(ncc2)N)C3CCCCC3)cc4
but-2-yn-1-yl trihydrogen diphosphate	O=P(O)(O)OP(=O)(OCC#CC)O
buta-2,3-dien-1-yl trihydrogen diphosphate	O=P(O)(O)OP(=O)(OC\C=C=C)O
3-[(S)-HYDROPEROXYSULFINYL]-L-ALANINE	O=C(O)C(N)CS(=O)OO
6-methoxy-3,8-dimethyl-4-(piperazin-1-yl)-1H-pyrazolo[3,4-b]quinoline	n2c1c(cc(OC)cc1c(c3c2nnc3C)N4CCNCC4)C
4,4'-(1,1,1,3,3,3-hexafluoropropane-2,2-diyl)diphenol	FC(F)(F)C(c1ccc(O)cc1)(c2ccc(O)cc2)C(F)(F)F
4,4'-(2,2-dichloroethene-1,1-diyl)diphenol	Cl/C(Cl)=C(/c1ccc(O)cc1)c2ccc(O)cc2
(4R,4'S)-4,4'-diphenyl-4,4'-biimidazolidine-2,2',5,5'-tetrone	O=C2NC(=O)NC2(c1ccccc1)C3(C(=O)NC(=O)N3)c4ccccc4
N-[(2S)-2-benzyl-3-sulfanylpropanoyl]-L-alanylglycinamide	O=C(N)CNC(=O)C(NC(=O)C(CS)Cc1ccccc1)C
1-methyl-6-phenyl-1,3-dihydro-2H-imidazo[4,5-b]pyridin-2-one	O=C2Nc1ncc(cc1N2C)c3ccccc3
3-(1-methyl-2-oxo-2,3-dihydro-1H-imidazo[4,5-b]pyridin-6-yl)benzamide	O=C(N)c3cccc(c1cc2c(nc1)NC(=O)N2C)c3
5'-deoxy-5'-fluorothymidine	O=C1NC(=O)N(C=C1C)C2OC(C(O)C2)CF
(2S,3R)-2-azanyl-3-methyl-3-oxidanyl-pentanoic acid	O=C(O)C(N)C(O)(C)CC
(betaR)-beta,3-dihydroxy-N-methyl-L-tyrosine	O=C(O)C(NC)C(O)c1cc(O)c(O)cc1
6,7-dimethoxy-2-(piperazin-1-yl)quinazolin-4-amine	n1c(N)c3c(nc1N2CCNCC2)cc(OC)c(OC)c3
(2R)-2-amino-2-methylnonanoic acid	O=C(O)C(N)(CCCCCCC)C
3,6-dichloro-1-benzothiophene-2-carboxylic acid	O=C(O)c2sc1cc(Cl)ccc1c2Cl
4-(sulfamoylamino)benzenesulfonamide	O=S(=O)(N)c1ccc(NS(=O)(=O)N)cc1
4-chloro-2-(1H-pyrazol-3-yl)phenol	Clc2ccc(O)c(c1nncc1)c2
D-leucyl-N-(4-fluorobenzyl)-L-phenylalaninamide	Fc1ccc(cc1)CNC(=O)C(NC(=O)C(N)CC(C)C)Cc2ccccc2
phenacyl coenzyme A	O=C(c1ccccc1)CSCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC4OC(n3cnc2c(ncnc23)N)C(O)C4OP(=O)(O)O
furan-2-yl(1H-indol-3-yl)methanone	O=C(c1cnc2ccccc12)c3occc3
(5Z)-5-[3-(trifluoromethyl)benzylidene]-1,3-thiazolidine-2,4-dione	O=C1C(\SC(=O)N1)=C\c2cccc(c2)C(F)(F)F
2,5,6-triaminopyrimidin-4-ol	n1c(N)c(N)c(O)nc1N
(2Z)-2-fluoro-3,7-dimethylocta-2,6-dien-1-yl trihydrogen diphosphate	O=P(O)(O)OP(=O)(OCC(\F)=C(/C)CC\C=C(/C)C)O
4-(6-methoxy-3,4-dihydroisoquinolin-1-yl)benzenesulfonamide	O=S(=O)(N)c3ccc(C1=NCCc2cc(OC)ccc12)cc3
L-GUANOSINE-5'-MONOPHOSPHATE	O=C1c2ncn(c2N=C(N)N1)C3OC(C(O)C3O)COP(=O)(O)O
N~5~-(3-iodobenzoyl)-L-ornithine	O=C(c1cc(I)ccc1)NCCCC(C(=O)O)N
3-{[(1Z)-1-carboxyprop-1-en-1-yl]oxy}-2-hydroxybenzoic acid	O=C(O)c1cccc(O/C(C(=O)O)=C\C)c1O
4-bromo-3-methylbenzoic acid	Brc1ccc(C(=O)O)cc1C
3-{[(4-hydroxy-3-methoxyphenyl)acetyl]amino}-D-alanine	O=C(O)C(N)CNC(=O)Cc1cc(OC)c(O)cc1
N-(furan-2-ylcarbonyl)-L-leucyl-L-tryptophan	O=C(NC(C(=O)NC(C(=O)O)Cc2c1ccccc1nc2)CC(C)C)c3occc3
(3beta,8alpha,9beta)-3-hydroxycholest-5-en-7-one	O=C1C=C4C(C3C1C2C(C(C(C)CCCC(C)C)CC2)(C)CC3)(CCC(O)C4)C
5-(1-ethoxyisoquinolin-3-yl)-2,4-dihydro-3H-1,2,4-triazol-3-one	CCOc1nc(cc2ccccc12)C=1NC(=O)NN=1
(1E,3Z)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylic acid	O=C(O)C(\O)=C\C(\C(=O)O)=C/C(=O)O
2-oxo-2H-pyran-4,6-dicarboxylic acid	O=C1OC(=CC(C(=O)O)=C1)C(=O)O
6-methoxy-N-(1-methyl-1H-pyrazol-3-yl)quinazolin-4-amine	n2c(Nc1nn(cc1)C)c3cc(OC)ccc3nc2
(3R)-1-azabicyclo[2.2.2]oct-3-yl[bis(5-chlorothiophen-2-yl)]methanol	Clc1sc(cc1)C(O)(c2sc(Cl)cc2)C4C3CCN(CC3)C4
2-[(4-methoxybenzyl)amino]ethanesulfonic acid	O=S(=O)(O)CCNCc1ccc(OC)cc1
1-(1H-indazol-5-yl)-3-(2-phenylethyl)urea	O=C(NCCc1ccccc1)Nc2cc3c(cc2)nnc3
1,3-benzodioxole-5-carboxylic acid	O=C(O)c1ccc2OCOc2c1
